Country,combined figures (kg/capita/year),Household estimate (kg/capita/year),Household estimate (tonnes/year),Retail estimate (kg/capita/year),Retail estimate (tonnes/year),Food service estimate (kg/capita/year),Food service estimate (tonnes/year),Region
Turks and Caicos Islands,113,74,2824,13,489,26,977,Latin America and the Caribbean
Tuvalu,120,76,878,16,181,28,321,Polynesia
Uganda,147,103,4546237,16,692387,28,1223969,Sub-Saharan Africa
Ukraine,120,76,3344904,16,688070,28,1216338,Eastern Europe
United Arab Emirates,134,95,923625,13,125173,26,249836,Western Asia
United Kingdom,98,77,5199825,4,283627,17,1114248,Northern Europe
United Rep. of Tanzania,163,119,6907649,16,907219,28,1603740,Sub-Saharan Africa
United States of America,139,59,19359951,16,5151313,64,20934827,Northern America
United States Virgin Islands,113,74,7732,13,1340,26,2675,Latin America and the Caribbean
Uruguay,113,74,255892,13,44349,26,88517,Latin America and the Caribbean
Uzbekistan,135,91,3001868,16,515841,28,911881,Central Asia
Vanuatu,135,91,27296,16,4691,28,8292,Melanesia
Venezuela (Boliv. Rep. of),116,72,2065461,16,445994,28,788407,Latin America and the Caribbean
Viet Nam,120,76,7346717,16,1508689,28,2666991,South-eastern Asia
Yemen,148,104,3026946,16,456099,28,806270,Western Asia
Zambia,122,78,1391729,16,279350,28,493822,Sub-Saharan Africa
Zimbabwe,144,100,1458564,16,229059,28,404920,Sub-Saharan Africa
